timestamp,air_temperature,barometric_pressure,station_pressure,sea_level_pressure,relative_humidity,precip,precip_accum_last_1hr,precip_accum_local_day,precip_accum_local_day_final,precip_accum_local_yesterday,precip_accum_local_yesterday_final,precip_minutes_local_day,precip_minutes_local_yesterday,precip_minutes_local_yesterday_final,precip_analysis_type_yesterday,wind_avg,wind_direction,wind_gust,wind_lull,solar_radiation,uv,brightness,lightning_strike_last_epoch,lightning_strike_last_distance,lightning_strike_count,lightning_strike_count_last_1hr,lightning_strike_count_last_3hr,feels_like,heat_index,wind_chill,dew_point,wet_bulb_temperature,delta_t,air_density,pressure_trend
1641937272,10.0,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,160,2.3,0.5,97,0.0,12704,1640705344,42,0,0,0,10.0,10.0,10.0,-2.0,4.9,5.1,1.23498,falling
1641937332,10.0,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.4,165,2.6,0.3,97,0.0,12597,1640705344,42,0,0,0,9.8,10.0,9.8,-2.0,4.9,5.1,1.23498,falling
1641937392,10.0,1003.8,1003.8,1024.1,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.1,247,2.3,0.3,95,0.0,12379,1640705344,42,0,0,0,10.0,10.0,10.0,-1.7,5.0,5.0,1.23498,falling
1641937452,10.0,1003.8,1003.8,1024.1,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,165,1.4,0.0,93,0.0,12150,1640705344,42,0,0,0,10.0,10.0,10.0,-1.7,5.0,5.0,1.23498,falling
1641937512,10.0,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.5,156,3.1,0.6,91,0.0,11918,1640705344,42,0,0,0,9.6,10.0,9.6,-2.0,4.9,5.1,1.23498,falling
1641937572,10.0,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.4,185,3.7,0.1,90,0.0,11699,1640705344,42,0,0,0,9.8,10.0,9.8,-2.0,4.9,5.1,1.23498,falling
1641937632,9.9,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.9,130,2.4,0.1,88,0.0,11426,1640705344,42,0,0,0,9.9,9.9,9.9,-2.1,4.8,5.1,1.23542,falling
1641937693,9.9,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,170,2.7,0.2,86,0.0,11265,1640705344,42,0,0,0,9.9,9.9,9.9,-2.1,4.8,5.1,1.23542,falling
1641937752,9.9,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.8,144,1.8,0.2,85,0.0,11070,1640705344,42,0,0,0,9.9,9.9,9.9,-2.1,4.8,5.1,1.23542,falling
1641937812,9.9,1003.8,1003.8,1024.1,43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,160,2.2,0.5,83,0.0,10779,1640705344,42,0,0,0,9.9,9.9,9.9,-2.1,4.8,5.1,1.23542,falling
1641937872,9.9,1003.8,1003.8,1024.1,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.4,203,3.1,0.1,81,0.0,10570,1640705344,42,0,0,0,9.6,9.9,9.6,-1.8,4.9,5.0,1.23542,falling
1641937932,9.9,1003.8,1003.8,1024.1,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6,163,3.0,0.2,79,0.0,10350,1640705344,42,0,0,0,9.4,9.9,9.4,-1.8,4.9,5.0,1.23542,falling
1641937992,9.8,1003.8,1003.8,1024.1,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,159,1.5,0.4,77,0.0,10058,1640705344,42,0,0,0,9.8,9.8,9.8,-1.9,4.8,5.0,1.23586,falling
1641938053,9.8,1003.7,1003.7,1023.9,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.9,166,2.2,0.5,75,0.0,9781,1640705344,42,0,0,0,9.8,9.8,9.8,-1.9,4.8,5.0,1.23573,falling
1641938112,9.8,1003.7,1003.7,1023.9,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.3,210,2.2,0.2,69,0.0,9062,1640705344,42,0,0,0,9.8,9.8,9.8,-1.9,4.8,5.0,1.23573,falling
1641938172,9.8,1003.7,1003.7,1023.9,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.1,157,2.3,0.0,69,0.0,9024,1640705344,42,0,0,0,9.8,9.8,9.8,-1.9,4.8,5.0,1.23573,falling
1641938231,9.7,1003.7,1003.7,1023.9,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.9,164,1.7,0.1,68,0.0,8897,1640705344,42,0,0,0,9.7,9.7,9.7,-2.0,4.8,4.9,1.23617,falling
1641938291,9.7,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6,191,3.5,0.2,70,0.0,9099,1640705344,42,0,0,0,9.2,9.7,9.2,-2.0,4.8,4.9,1.23605,falling
1641938351,9.7,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.4,211,2.4,0.5,69,0.0,9035,1640705344,42,0,0,0,9.4,9.7,9.4,-2.0,4.8,4.9,1.23605,falling
1641938411,9.6,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6,167,2.9,0.5,66,0.0,8589,1640705344,42,0,0,0,9.1,9.6,9.1,-2.1,4.7,4.9,1.23648,falling
1641938471,9.6,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.6,134,1.6,0.2,65,0.0,8460,1640705344,42,0,0,0,9.6,9.6,9.6,-2.1,4.7,4.9,1.23648,falling
1641938531,9.6,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.5,156,2.7,0.5,64,0.0,8371,1640705344,42,0,0,0,9.2,9.6,9.2,-2.1,4.7,4.9,1.23648,falling
1641938591,9.6,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,213,2.0,0.5,63,0.0,8190,1640705344,42,0,0,0,9.6,9.6,9.6,-2.1,4.7,4.9,1.23648,falling
1641938651,9.6,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.2,141,2.4,0.5,61,0.0,7990,1640705344,42,0,0,0,9.6,9.6,9.6,-2.1,4.7,4.9,1.23648,falling
1641938711,9.5,1003.6,1003.6,1023.8,44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.5,124,2.6,0.4,60,0.0,7821,1640705344,42,0,0,0,9.1,9.5,9.1,-2.2,4.7,4.8,1.23692,falling
1641938771,9.5,1003.6,1003.6,1023.8,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.4,129,2.1,0.5,58,0.0,7622,1640705344,42,0,0,0,9.2,9.5,9.2,-1.9,4.7,4.8,1.23692,falling
1641938831,9.5,1003.6,1003.6,1023.8,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.1,172,2.0,0.2,57,0.0,7422,1640705344,42,0,0,0,9.5,9.5,9.5,-1.9,4.7,4.8,1.23692,falling
1641938891,9.5,1003.5,1003.5,1023.7,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.9,222,2.2,0.3,54,0.0,7083,1640705344,42,0,0,0,9.5,9.5,9.5,-1.9,4.7,4.8,1.2368,falling
1641938951,9.4,1003.5,1003.5,1023.7,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.3,203,2.4,0.2,53,0.0,6937,1640705344,42,0,0,0,9.4,9.4,9.4,-1.9,4.6,4.8,1.23724,falling
1641939012,9.4,1003.4,1003.4,1023.6,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,144,1.5,0.6,50,0.0,6565,1640705344,42,0,0,0,9.4,9.4,9.4,-1.9,4.6,4.8,1.23711,falling
1641939071,9.4,1003.4,1003.4,1023.6,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,126,1.6,0.3,48,0.0,6231,1640705344,42,0,0,0,9.4,9.4,9.4,-1.9,4.6,4.8,1.23711,falling
1641939131,9.3,1003.4,1003.4,1023.6,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.4,134,2.2,0.6,46,0.0,5945,1640705344,42,0,0,0,9.0,9.3,9.0,-2.0,4.5,4.8,1.23755,falling
1641939191,9.3,1003.4,1003.4,1023.6,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6,151,3.4,0.2,41,0.0,5391,1640705344,42,0,0,0,8.7,9.3,8.7,-2.0,4.5,4.8,1.23755,falling
1641939251,9.2,1003.4,1003.4,1023.6,45,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.6,142,2.9,1.0,38,0.0,4995,1640705344,42,0,0,0,8.6,9.2,8.6,-2.1,4.5,4.7,1.23799,falling
1641939311,9.2,1003.4,1003.4,1023.6,46,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1.7,164,2.4,0.7,37,0.0,4783,1640705344,42,0,0,0,8.5,9.2,8.5,-1.8,4.5,4.7,1.23799,falling
